Feature 1,Feature 2,Feature 3,Feature 4,Target
0.825703,0.647085,0.153191,0.801612,1.0578
0.251219,0.964209,0.0862567,0.146114,0.164988
0.601793,0.867357,0.318136,0.0116561,0.0134163
0.571894,0.695791,0.0917364,0.907306,1.06695
0.29813,0.400403,0.385162,0.697473,0.218568
0.839365,0.948445,0.487548,0.600175,0.780384
0.0444998,0.749637,0.304485,0.0689652,0.033769
0.033355,0.216057,0.392307,0.859058,-0.122755
0.863142,0.545498,0.66067,0.114361,0.0855383
0.509707,0.746926,0.260475,0.1115,0.111072
0.614283,0.57861,0.123156,0.186177,0.19916
0.274402,0.214893,0.0934829,0.572532,0.226615
0.615295,0.478645,0.270005,0.45466,0.374611
0.42709,0.757553,0.0548352,0.47159,0.532806
0.507191,0.35932,0.540555,0.540546,0.176194
0.575377,0.932862,0.399603,0.438519,0.486158
0.47836,0.060273,0.55288,0.988067,-0.0140766
0.807199,0.813354,0.0995671,0.421483,0.64107
0.391965,0.222723,0.60766,0.666366,0.00468334
0.437616,0.701143,0.238898,0.0529112,0.0476127
0.179788,0.508903,0.507571,0.606878,0.109917
0.266456,0.562407,0.0784676,0.773647,0.580541
0.921727,0.619023,0.314193,0.497104,0.609726
0.551885,0.713796,0.935623,0.0302447,0.0099825
0.774069,0.488502,0.0183117,0.581268,0.723248
0.301857,0.117879,0.00275085,0.693821,0.289313
0.340602,0.610411,0.360188,0.778218,0.45979
0.311553,0.599086,0.831129,0.491341,0.0390664
0.107989,0.3387,0.0982185,0.374445,0.130483
0.901107,0.176686,0.148092,0.822834,0.764989
0.795709,0.462285,0.319937,0.347594,0.326062
0.17608,0.25556,0.377838,0.950149,0.0511202
0.744063,0.39615,0.531417,0.0459194,0.0279555
0.514029,0.534168,0.739741,0.854631,0.263616
0.144579,0.0999284,0.632849,0.456132,-0.177135
0.699014,0.463978,0.947472,0.807003,0.173925
0.802678,0.045691,0.181448,0.703785,0.469369
0.222377,0.32954,0.526619,0.0180861,0.000457551
0.791825,0.846556,0.36568,0.967905,1.23185
0.102117,0.743518,0.918054,0.846179,-0.0612801
0.139668,0.449472,0.892099,0.653697,-0.198043
0.98364,0.631839,0.508328,0.128218,0.141957
0.731768,0.141177,0.58435,0.430782,0.124321
0.605154,0.531823,0.237785,0.407833,0.36672
0.577514,0.419233,0.111618,0.799891,0.708006
0.748774,0.638237,0.817977,0.540598,0.307619
0.484793,0.183657,0.508504,0.58691,0.093874
0.927175,0.426558,0.433089,0.0668426,0.0615382
0.87603,0.325188,0.72054,0.85967,0.413225
0.957028,0.228868,0.987888,0.688795,0.136386
